Distance_cm,Pixel_Width
70,95
70,94
70,95
70,82
70,84
70,82
70,78
70,79
70,81
70,82
70,83
70,80
70,81
70,75
70,70
70,78
70,81
70,86
70,88
70,76
70,85
70,82
70,88
70,77
70,79
70,85
70,78
70,77
70,80
70,77
70,86
70,82
70,83
70,84
70,88
70,77
70,80
70,32
70,25
70,33
70,73
70,39
70,74
70,81
70,74
70,74
70,74
70,74
70,74
70,75
70,75
70,75
70,65
70,61
70,69
70,64
70,69
70,64
70,61
70,57
70,67
70,57
70,70
70,57
70,64
70,60
70,58
70,63
70,65
70,70
70,65
70,66
70,65
70,65
70,65
70,67
70,57
70,58
70,56
70,56
70,56
70,58
70,58
70,56
70,55
